Date,	NDX
1996-01-02,	123.32
1996-01-03,	234.34
1996-01-04,	345.22
1996-01-10,	456.22
1996-01-11,	456.33
1996-01-12,	234.33
1996-01-22,	565.33
1996-01-23,	456.33
1996-01-24,	123.32
1996-01-30,	234.34
1996-01-31,	345.22
1996-02-01,	456.22
1996-02-02,	456.33
1996-02-03,	234.33
1996-02-04,	565.33
1996-02-05,	456.33
1996-02-06,	546.57
1996-02-07,	456.76
1996-02-08,	456.33
1996-02-09,	234.33
1996-02-10,	565.33
1996-02-11,	456.33
1996-02-12,	546.57
1996-02-13,	456.76
1996-02-14,	456.33
1996-02-15,	234.33
1996-02-16,	565.33
1996-02-17,	456.33
1996-02-18,	546.57
1996-02-19,	456.33
1996-02-20,	234.33
1996-02-21,	565.33
1996-02-22,	456.33
1996-02-23,	123.32
1996-02-24,	234.34
1996-02-25,	456.33
1996-02-26,	123.32
1996-02-27,	234.34
1996-02-28,	456.33
1996-02-29,	234.33
1996-03-01,	565.33
1996-03-02,	456.33
1996-03-03,	123.32
1996-03-04,	234.34
1996-03-05,	234.33
1996-03-06,	565.33
1996-03-07,	456.33
1996-03-08,	546.57
1996-03-09,	456.76
1996-03-10,	456.22
1996-03-11,	456.33
1996-03-12,	234.33
1996-03-13,	565.33
1996-03-14,	456.33
1996-03-15,	123.32
1996-03-16,	234.34
1996-03-17,	345.22
1996-03-18,	456.22
1996-03-19,	456.33
1996-03-20,	234.33
1996-03-21,	565.33
1996-03-22,	456.33
1996-03-23,	546.57
1996-03-24,	456.76
1996-03-25,	456.33
1996-03-26,	234.33
1996-03-27,	565.33
1996-03-28,	456.33
1996-03-29,	546.57
1996-03-30,	456.76
1996-03-31,	456.33
1996-04-01,	234.33
1996-04-02,	565.33
1996-04-03,	456.33
1996-04-04,	546.57
1996-04-05,	456.33
1996-04-06,	234.33
1996-04-07,	565.33
1996-04-08,	456.33
1996-04-09,	456.22
1996-04-10,	456.33
1996-04-11,	234.33
1996-04-12,	565.33
1996-04-13,	456.33
1996-04-14,	123.32
1996-04-15,	234.34
1996-04-16,	345.22
1996-04-17,	456.22
1996-04-18,	456.33
1996-04-19,	234.33
1996-04-20,	565.33
1996-04-21,	456.33
1996-04-22,	546.57
1996-04-23,	456.76
1996-04-24,	456.33
1996-04-25,	234.33
1996-04-26,	565.33
1996-04-27,	456.33
1996-04-28,	546.57